Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s):,"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,2. Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,"3. In classes you have taken at the University, how effective or ineffective were teaching assistants in facilitating your understanding of course materials?","4. If the 2020 U.S. Presidential Election were held today, which candidate would you vote for?","5. In the past year at Brown, which types of parties have you attended? (Select all that apply)",6. What is your preferred method of notetaking in class?,"7. During a typical class, about how long do you pay full attention to the lecture?","8. How often do you meet with an academic advisor? (e.g. department advisor, Meiklejohn peer advisor, first-year advisor, sophomore advisor, etc.)",9. Do you approve or disapprove of the UniversityÕs requirement that all undergraduates live in on-campus housing for their first six semesters (with the exception of the off campus permission lottery for juniors)?,10. Which of the following dating apps have you used? (Select all that apply),"11. How often do you use barrier methods (e.g., condoms, dental dams)  to protect against Sexually Transmitted Infections (STIs) during oral and/or penetrative sexual intercourse?","12. How often do you use barrier methods (e.g. condoms, dental dams) and/or contraceptives (e.g. birth control pills, IUDs)  to prevent pregnancy during vaginal sexual intercourse?"
Female,Junior,None,No,Bisexual,Asian,Business (BEO or econ),No,Yes,International,No,On campus,No opinion,No opinion,Somewhat effective,I am ineligible to vote,Student organization event,Handwriting on paper,The entire class,A few times per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Senior,"Grants, covering some costs",No,Heterosexual,Black,"Business (BEO or econ), Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,I am ineligible to vote,I do not attend parties,Handwriting on paper,The entire class,Never,Strongly disapprove,I do not use dating apps,Always,Always
Male,Senior,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,Off campus,Strongly disapprove,Somewhat approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per week,Somewhat approve,"Bumble, Tinder",Always,I do not engage in vaginal sexual intercourse
Female,Senior,None,No,Gay,White,Humanities/arts,No,No,Domestic,Yes,Off campus,Somewhat disapprove,Strongly approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus house party, Providence/downtown bars or clubs",Handwriting on paper,The entire class,A few times per semester,Strongly disapprove,"HER, Tinder",Sometimes,I do not engage in vaginal sexual intercourse
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,Domestic,Yes,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Donald Trump,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Providence/downtown bars or clubs",Handwriting on paper,The entire class,Never,Strongly disapprove,I do not use dating apps,Always,I do not engage in vaginal sexual intercourse
Female,Senior,None,No,Bisexual,White,Life sciences,No,No,Domestic,No,Off campus,Somewhat approve,No opinion,Somewhat effective,Bernie Sanders,"Student organization event, Off-campus house party, Graduate Center Bar",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,Tinder,Always,Always
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat ineffective,Tulsi Gabbard,Off-campus/unrecognized Greek Life,Typing on a computer,Less than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Most of the time,Most of the time
Female,Senior,None,No,Heterosexual,White,Life sciences,No,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Graduate Center Bar",Handwriting on paper,The entire class,Once per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,"Grants, covering some costs",Yes,Heterosexual,Hispanic,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Typing on a computer,The entire class,Once per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Bisexual,Asian,"Humanities/arts, Business (BEO or econ)",No,No,Domestic,Yes,On campus,No opinion,No opinion,Somewhat effective,Joe Biden,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party",Handwriting on paper,The entire class,A few times per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Senior,"Grants, covering all costs",No,Heterosexual,Asian,"Life sciences, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Somewhat ineffective,Bernie Sanders,"Off-campus house party, Graduate Center Bar",Handwriting on paper,More than half of the class,Once per year,Somewhat approve,"Bumble, Tinder",Rarely,Most of the time
Male,Junior,None,No,Gay,Asian,Business (BEO or econ),No,No,Domestic,Yes,On campus,Somewhat disapprove,Somewhat approve,Extremely effective,Joe Biden,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs",Handwriting on paper,The entire class,Once per semester,Strongly disapprove,"Bumble, Hinge, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Senior,"Grants, covering some costs",No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,Off campus,No opinion,No opinion,Extremely effective,Bernie Sanders,"Off-campus house party, Graduate Center Bar",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,Junior,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,Yes,Off campus,Somewhat approve,Somewhat approve,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,The entire class,Once per semester,Somewhat disapprove,I do not use dating apps,Sometimes,Never
Male,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,Donald Trump,I do not attend parties,Handwriting on paper,More than half of the class,A few times per month,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,None,No,Heterosexual,White,Life sciences,No,No,International,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs, Other",Handwriting on paper,More than half of the class,A few times per semester,Somewhat approve,I do not use dating apps,Always,Always
Female,First-year,"Grants, covering some costs",No,Heterosexual,"Asian, Other","Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,Half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,Bumble,Always,Always
Female,Junior,"Grants, covering some costs",No,Bisexual,"White, Hispanic","Humanities/arts, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Other",Handwriting on paper,The entire class,A few times per month,Strongly approve,I do not use dating apps,Sometimes,Always
Female,First-year,None,No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,Yes,On campus,No opinion,Strongly approve,Somewhat effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Typing on a computer,More than half of the class,A few times per semester,Strongly disapprove,Tinder,Sometimes,Always
Female,Sophomore,None,No,Bisexual,White,Life sciences,Yes,No,Domestic,Yes,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,More than half of the class,Once per semester,Strongly disapprove,Tinder,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,"Grants, covering some costs",No,Gay,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,I do not use dating apps,Never,Never
Male,First-year,"Grants, covering all costs",Yes,Heterosexual,Black,"Life sciences, Physical sciences (incl. math and CS)",No,Yes,International,No,On campus,Strongly approve,Somewhat approve,Somewhat effective,I am unsure,"Off-campus house party, Varsity sports house",Handwriting on paper,The entire class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,"Grants, covering some costs",No,Heterosexual,White,Life sciences,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,Student organization event,Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,None,No,Heterosexual,"White, Hispanic",Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Joe Biden,"Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Extremely effective,Bernie Sanders,"Small Victories (SV) event, Dormitory party, Off-campus house party",Handwriting on paper,The entire class,A few times per semester,Strongly disapprove,I do not use dating apps,Always,Always
Female,First-year,"Grants, covering some costs",No,Heterosexual,"White, Other","Life sciences, Business (BEO or econ)",No,Yes,Domestic,Yes,On campus,No opinion,No opinion,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic, Other",Typing on a computer,More than half of the class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,"Grants, covering all costs",No,Heterosexual,Black,Life sciences,No,No,Domestic,No,On campus,No opinion,Strongly approve,Extremely effective,Bernie Sanders,Other,Typing on a computer,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,Junior,"Grants, covering all costs",No,Heterosexual,Hispanic,Social sciences (not incl. BEO or econ),No,Yes,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,Half of the class,A few times per semester,Somewhat disapprove,Tinder,Most of the time,Always
Male,Sophomore,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Extremely effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,More than half of the class,Never,Somewhat disapprove,I do not use dating apps,Always,Always
Male,First-year,None,No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,No opinion,No opinion,Extremely effective,Donald Trump,"University-recognized Greek Life, Small Victories (SV) event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,The entire class,A few times per semester,No opinion,I do not use dating apps,Always,Always
Female,Sophomore,None,No,Bisexual,Asian,Social sciences (not incl. BEO or econ),No,No,International,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat ineffective,I am ineligible to vote,Dormitory party,Handwriting on paper,Half of the class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Junior,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Joe Biden,"Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,Junior,"Grants, covering some costs",No,Heterosexual,"White, Black",Life sciences,No,Yes,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar, Whiskey Republic",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,Never,Never
Male,Sophomore,None,No,Heterosexual,"White, Asian",Physical sciences (incl. math and CS),No,No,Domestic,Yes,On campus,No opinion,Somewhat approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",I do not usually take notes,More than half of the class,A few times per semester,Strongly disapprove,Tinder,Always,Always
Male,Junior,None,No,Gay,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,International,No,On campus,No opinion,No opinion,Extremely effective,I am ineligible to vote,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,More than half of the class,Once per semester,Strongly disapprove,"Hinge, Tinder",Sometimes,I do not engage in vaginal sexual intercourse
Male,Sophomore,None,Yes,Heterosexual,"White, Hispanic",Physical sciences (incl. math and CS),No,Yes,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat ineffective,Donald Trump,"Dormitory party, Off-campus house party, Varsity sports house",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,Once per semester,Strongly disapprove,"Bumble, Tinder",Never,Rarely
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,Hispanic,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,No,On campus,Strongly disapprove,No opinion,Somewhat effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Once per year,Strongly disapprove,"Bumble, Hinge, Tinder, Other",Most of the time,Always
Female,Junior,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,I do not plan on voting,I do not attend parties,Handwriting on paper,Half of the class,Never,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,None,No,Heterosexual,White,Life sciences,No,No,Domestic,Yes,On campus,Somewhat disapprove,Strongly approve,Extremely effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,Half of the class,A few times per semester,Somewhat approve,"Bumble, Hinge, Tinder",Always,Always
Female,Sophomore,None,Yes,Bisexual,White,Life sciences,Yes,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house",Typing on a computer,The entire class,A few times per semester,Somewhat approve,Tinder,Sometimes,Most of the time
Female,Sophomore,None,No,Heterosexual,Asian,Business (BEO or econ),No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat effective,Joe Biden,I do not attend parties,Typing on a computer,The entire class,A few times per semester,Somewhat approve,"Bumble, Tinder",Always,Always
Female,Junior,None,No,Heterosexual,White,Humanities/arts,Yes,No,Domestic,No,Off campus,No opinion,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar, Whiskey Republic",Typing on a computer,The entire class,Never,Strongly disapprove,I do not use dating apps,Never,Always
Male,Sophomore,None,No,Heterosexual,Asian,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,Strongly disapprove,Somewhat disapprove,Somewhat effective,I am ineligible to vote,"Student organization event, Dormitory party, Off-campus house party",I do not usually take notes,The entire class,A few times per semester,Strongly disapprove,"Tinder, Other",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,"Grants, covering all costs",No,Heterosexual,"White, Hispanic",Life sciences,No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat effective,Donald Trump,"Student organization event, Off-campus house party",I do not have a preference,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat effective,Bernie Sanders,Student organization event,Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,None,No,Heterosexual,"White, Hispanic","Business (BEO or econ), Social sciences (not incl. BEO or econ)",Yes,No,Domestic,Yes,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,"Bumble, Tinder",Always,Always
Female,Sophomore,"Grants, covering some costs",Yes,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,Yes,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Typing on a computer,Half of the class,Once per semester,Somewhat approve,"Bumble, Hinge, Tinder",Most of the time,Always
Male,First-year,None,No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Extremely effective,Joe Biden,"University-recognized Greek Life, Dormitory party, Varsity sports house",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,"Bumble, Tinder, Other",Always,Always
Male,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,International,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,I am ineligible to vote,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,Sophomore,"Grants, covering some costs",No,Gay,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,I am ineligible to vote,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,Half of the class,A few times per month,Somewhat disapprove,"Bumble, HER, Tinder",Never,Never
Female,First-year,"Grants, covering all costs",No,Heterosexual,Black,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Dormitory party, Off-campus house party, Varsity sports house",Typing on a computer,The entire class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Senior,"Grants, covering some costs",No,Heterosexual,Black,"Humanities/arts, Business (BEO or econ)",No,Yes,Domestic,No,On campus,No opinion,No opinion,No opinion,Bernie Sanders,I do not attend parties,I do not usually take notes,The entire class,Once per semester,No opinion,Tinder,Always,Always
Female,Senior,None,No,Gay,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,Off campus,Strongly approve,Strongly approve,Extremely effective,Bernie Sanders,"Student organization event, Off-campus house party, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,Less than half of the class,Once per year,Somewhat approve,Tinder,Never,Never
Female,Sophomore,None,No,Heterosexual,"White, Asian",Life sciences,No,No,Domestic,Yes,On campus,No opinion,No opinion,Extremely effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,A few times per semester,Strongly disapprove,"Bumble, Tinder",Most of the time,Most of the time
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Business (BEO or econ)",Yes,No,Domestic,No,On campus,No opinion,No opinion,Somewhat ineffective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,More than half of the class,Once per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,Always
Male,Junior,"Grants, covering some costs",No,Gay,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,"Bumble, Grindr, Tinder",Sometimes,I do not engage in vaginal sexual intercourse
Male,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,I am ineligible to vote,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,Once per semester,Somewhat approve,"Bumble, Tinder",Always,Always
Male,First-year,None,No,Heterosexual,"White, Asian",Life sciences,No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,The entire class,A few times per semester,Somewhat approve,Tinder,Always,Always
Female,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,I am ineligible to vote,"University-recognized Greek Life, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,Once per semester,Strongly disapprove,Tinder,Never,Always
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Whiskey Republic",Handwriting on paper,More than half of the class,Never,Somewhat approve,I do not use dating apps,Never,Always
Female,Junior,"Grants, covering all costs",No,Bisexual,Asian,Humanities/arts,No,Yes,Domestic,No,On campus,No opinion,No opinion,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party",Typing on a computer,The entire class,Once per semester,No opinion,"Bumble, Hinge",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Junior,None,No,Heterosexual,White,Business (BEO or econ),Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Tulsi Gabbard,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Dormitory party, Varsity sports house",Handwriting on paper,The entire class,Never,Somewhat disapprove,I do not use dating apps,Never,Always
Female,Sophomore,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,None,No,Heterosexual,Asian,"Life sciences, Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat effective,Bernie Sanders,"Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,Most of the time,Always
Female,First-year,None,No,Bisexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Strongly approve,Strongly approve,Extremely effective,Joe Biden,"University-recognized Greek Life, Student organization event",Typing on a computer,The entire class,Once per semester,Somewhat approve,Bumble,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Senior,"Grants, covering some costs",No,Gay,"White, Hispanic",Physical sciences (incl. math and CS),No,No,Domestic,No,Off campus,Strongly disapprove,Somewhat disapprove,Extremely effective,Bernie Sanders,Off-campus house party,Typing on a computer,The entire class,Once per semester,Strongly disapprove,I do not use dating apps,Always,I do not engage in vaginal sexual intercourse
Male,First-year,None,No,Bisexual,Asian,"Humanities/arts, Life sciences",No,No,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party",Handwriting on paper,The entire class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,Yes,On campus,Strongly approve,No opinion,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,More than half of the class,Never,No opinion,"Bumble, Tinder, Other",Most of the time,Always
